-5.83E-02,1.43E-03
3.24E-02,-1.53E-01
2.07E-02,1.59E-01
1.51E-01,3.90E-02
2.93E-01,2.63E-01
8.85E-02,6.79E-02
3.57E-01,1.06E-01
3.27E-01,1.91E-01
4.93E-01,2.68E-01
4.66E-01,2.60E-01
6.71E-01,1.65E-01
5.61E-01,3.95E-01
6.98E-01,2.55E-01
5.23E-01,3.40E-01
7.62E-01,1.54E-01
9.01E-01,2.72E-01
6.93E-01,1.98E-01
8.09E-01,2.16E-01
9.34E-01,1.70E-01
8.26E-01,-2.02E-01
9.09E-01,-1.02E-01
1.28E+00,-8.91E-02
1.25E+00,1.21E-01
1.29E+00,-1.53E-01
1.12E+00,-1.37E-01
1.16E+00,-4.52E-01
1.14E+00,-3.87E-01
1.52E+00,-5.16E-01
1.49E+00,-5.77E-01
1.54E+00,-7.52E-01
1.55E+00,-8.93E-01
1.46E+00,-8.16E-01
1.54E+00,-8.36E-01
1.55E+00,-1.28E+00
1.80E+00,-1.25E+00
1.79E+00,-1.36E+00
1.92E+00,-1.40E+00
1.94E+00,-1.62E+00
1.97E+00,-1.73E+00
1.88E+00,-1.89E+00
1.96E+00,-1.99E+00
2.05E+00,-2.15E+00
2.18E+00,-2.18E+00
2.08E+00,-2.61E+00
2.33E+00,-2.67E+00
2.14E+00,-2.97E+00
2.34E+00,-3.01E+00
2.26E+00,-3.23E+00
2.60E+00,-3.46E+00
2.43E+00,-3.57E+00
2.35E+00,-3.66E+00
2.52E+00,-4.00E+00
2.53E+00,-4.32E+00
2.60E+00,-4.30E+00
2.76E+00,-4.49E+00
2.78E+00,-4.94E+00
2.59E+00,-5.46E+00
2.87E+00,-5.39E+00
2.91E+00,-5.68E+00
2.93E+00,-5.93E+00
3.17E+00,-5.90E+00
3.02E+00,-6.50E+00
3.06E+00,-6.77E+00
3.05E+00,-6.89E+00
3.27E+00,-7.20E+00
3.35E+00,-7.37E+00
3.37E+00,-7.87E+00
3.37E+00,-8.24E+00
3.42E+00,-8.45E+00
3.54E+00,-8.71E+00
3.54E+00,-9.00E+00
3.50E+00,-9.31E+00
3.63E+00,-9.59E+00
3.80E+00,-9.85E+00
3.78E+00,-1.03E+01
3.73E+00,-1.04E+01
3.84E+00,-1.09E+01
3.94E+00,-1.13E+01
4.01E+00,-1.16E+01
3.84E+00,-1.19E+01
4.19E+00,-1.23E+01
4.02E+00,-1.28E+01
4.19E+00,-1.30E+01
4.30E+00,-1.34E+01
4.21E+00,-1.38E+01
4.43E+00,-1.42E+01
4.46E+00,-1.45E+01
4.21E+00,-1.48E+01
4.47E+00,-1.52E+01
4.53E+00,-1.58E+01
4.46E+00,-1.62E+01
4.44E+00,-1.65E+01
4.71E+00,-1.71E+01
4.84E+00,-1.75E+01
4.72E+00,-1.77E+01
4.80E+00,-1.84E+01
4.69E+00,-1.85E+01
4.92E+00,-1.90E+01
5.03E+00,-1.96E+01
5.17E+00,-1.99E+01
